Variant,CAGR,MDD,Sharpe,FinalNAV,AnnualTurnover,Months,BlacklistSymbols,MinHoldings,HoldBuffer,ExcludeKRUnknownStocks,USFlowScoreCap,MaxR1M,SoftMaxR1M,SoftR1MPenalty,EntrySoftMaxR1M,EntrySoftR1MPenalty,MaxPositionsPerSector,BreadthRiskOffThreshold,BreadthRiskOffExposure,SectorRiskOffName,SectorRiskOffWeightThreshold,SectorRiskOffExposure,MinRelVolume
rule_sector_cap2,0.375239973093062,-0.3547471433352588,1.4118418136688324,6.762098510089341,16.18969555035129,61,,4,0,0,,,,1.0,,1.0,2,,1.0,,,1.0,
rule_trend_chase_entry_soft,0.34500146815900323,-0.3411451194281201,1.3120011157587919,5.917800750000253,15.971860925959287,61,,4,0,0,,,,1.0,0.2,0.5,,,1.0,,,1.0,
equal_weight_no_mad_min4,0.33670920492365486,-0.32086999837374874,1.3055909048150462,5.7022873325405925,15.85480093676815,61,,4,0,0,,,,1.0,,1.0,,,1.0,,,1.0,
rule_breadth_risk_off_080,0.3285573740047403,-0.29561844547436145,1.3601760541256542,5.496838622158859,14.713817330210773,61,,4,0,0,,,,1.0,,1.0,,4,0.8,,,1.0,
rule_breadth_risk_off,0.3263215354723781,-0.28922273150906785,1.3722735794141367,5.441580155907338,14.42857142857143,61,,4,0,0,,,,1.0,,1.0,,4,0.75,,,1.0,
rule_trend_chase_soft,0.319084637687715,-0.33366235768851726,1.2669393700449239,5.2658845173870175,16.368808305163174,61,,4,0,0,,,0.2,0.5,,1.0,,,1.0,,,1.0,
rule_breadth_it_risk_off,0.3034937954946697,-0.26359044126735387,1.4054223868682854,4.903387710833091,13.879391100702575,61,,4,0,0,,,,1.0,,1.0,,4,0.75,Information Technology,0.55,0.8,
rule_trend_chase_cap,0.2853610638858892,-0.30727477703832184,1.3083606996214858,4.508183587253497,16.624512099921937,61,,4,0,0,,0.2,,1.0,,1.0,,,1.0,,,1.0,
promoted_buffer4,0.2703609056248073,-0.30254961018751503,0.9532523298847234,4.20165561336919,17.19970505593441,61,,0,4,0,,,,1.0,,1.0,,,1.0,,,1.0,
rule_kr_unknown_off,0.2703609056248073,-0.30254961018751503,0.9532523298847234,4.20165561336919,17.19970505593441,61,,0,0,1,,,,1.0,,1.0,,,1.0,,,1.0,
promoted_pruned8,0.26590639322990905,-0.30254961018751514,0.9546468575569588,4.114048232877641,17.11627348868583,61,"AMD,AMGN,PLTR,PFE,KHC,LMT,DE,BA",0,0,0,,,,1.0,,1.0,,,1.0,,,1.0,
promoted_buffer4_pruned8,0.2644651961931337,-0.30254961018751514,0.9513410469309356,4.086032133026475,17.112527497000045,61,"AMD,AMGN,PLTR,PFE,KHC,LMT,DE,BA",0,4,0,,,,1.0,,1.0,,,1.0,,,1.0,
rule_us_flow_cap,0.19404468033638622,-0.2934602703803615,0.8260471257143682,2.8974638963753003,17.9601562873279,61,,0,0,0,0.3,,,1.0,,1.0,,,1.0,,,1.0,
rule_combo_generalized,0.19404468033638622,-0.2934602703803615,0.8260471257143682,2.8974638963753003,17.9601562873279,61,,0,0,1,0.3,,,1.0,,1.0,,,1.0,,,1.0,
