SignalDate,NextDate,Market,Sector,Symbol,Contribution
2020-01-31,2020-02-28,US,Information Technology,AMD,-0.004312058036208999
2020-01-31,2020-02-28,US,Information Technology,AAPL,-0.015293523101424325
2020-01-31,2020-02-28,US,Information Technology,LRCX,-0.002137199886205051
2020-01-31,2020-02-28,US,Information Technology,NOW,-0.004785700598556571
2020-01-31,2020-02-28,US,Information Technology,NVDA,0.019062185751334965
2020-01-31,2020-02-28,US,Information Technology,MSFT,-0.006091740396957975
2020-02-28,2020-03-31,US,Consumer Discretionary,TSLA,-0.032333560705264726
2020-02-28,2020-03-31,KR,Information Technology,083450,-0.024193548387096774
2020-02-28,2020-03-31,US,Information Technology,NVDA,-0.0035935175661456157
2020-02-28,2020-03-31,US,Information Technology,NOW,-0.018174430708306065
2020-03-31,2020-05-29,US,Information Technology,NVDA,0.06502757521525279
2020-03-31,2020-05-29,US,Health Care,BIIB,-0.00550564692866113
2020-03-31,2020-05-29,US,Health Care,GILD,0.007699667246896913
2020-03-31,2020-05-29,US,Health Care,LLY,0.020207124701630774
2020-05-29,2020-06-30,US,Consumer Discretionary,TSLA,0.03909141771027758
2020-05-29,2020-06-30,US,Information Technology,NVDA,0.009412907381989685
2020-05-29,2020-06-30,US,Information Technology,AMD,-0.0029491911860827593
2020-05-29,2020-06-30,US,Information Technology,NOW,0.0058876645565354956
2020-05-29,2020-06-30,US,Information Technology,AAPL,0.01965150903330821
2020-05-29,2020-06-30,US,Consumer Discretionary,AMZN,0.017275563804521502
2020-06-30,2020-07-31,US,Consumer Discretionary,TSLA,0.06093954082465372
2020-06-30,2020-07-31,KR,Health Care,174900,-0.08910642570281124
2020-06-30,2020-07-31,KR,Information Technology,083450,0.019946808510638306
2020-06-30,2020-07-31,KR,Information Technology,007810,0.04796511627906977
2020-07-31,2020-08-31,US,Consumer Discretionary,TSLA,0.09886028337049488
2020-07-31,2020-08-31,US,Information Technology,AMD,0.0230573840232025
2020-07-31,2020-08-31,US,Information Technology,NVDA,0.03466560427581668
2020-07-31,2020-08-31,US,Information Technology,AAPL,0.028875889233731508
2020-07-31,2020-08-31,US,Information Technology,LRCX,-0.014430691511640307
2020-07-31,2020-08-31,US,Consumer Discretionary,AMZN,0.012061471159064278
2020-08-31,2020-10-30,US,Consumer Discretionary,TSLA,-0.0252918432904097
2020-08-31,2020-10-30,US,Information Technology,NVDA,-0.007150073195479604
2020-08-31,2020-10-30,US,Information Technology,AMD,-0.01954257882968659
2020-08-31,2020-10-30,US,Information Technology,AAPL,-0.017872623231049316
2020-08-31,2020-10-30,US,Information Technology,CRM,-0.016925929129201288
