AsOfDate,Ticker,TargetWeight,CurrentPrice,SignalRank
2026-03-26,SHY,0.35,82.22000122070312,1
2026-03-26,HYG,0.19359827110518357,78.91999816894531,2
2026-03-26,IEF,0.11899280377244144,94.58999633789062,3
2026-03-26,LQD,0.07231119542517751,107.87999725341795,4
2026-03-26,TLT,0.030609062932435534,86.11000061035156,5
2026-03-26,SPY,0.024797126018638066,645.0900268554688,6
2026-03-26,DIA,0.022263738826086517,459.30999755859375,7
2026-03-26,VNQ,0.021654050206189126,87.72000122070312,8
2026-03-26,XLF,0.020837981865580706,49.04999923706055,9
2026-03-26,XLE,0.02009326469456321,61.52000045776367,10
2026-03-26,XLP,0.020006505393859106,81.13999938964844,11
2026-03-26,XLV,0.01812174010592816,145.74000549316406,12
2026-03-26,XLI,0.0174892537715309,161.27000427246094,13
2026-03-26,QQQ,0.01725376723957304,573.7899780273438,14
2026-03-26,XLY,0.014779905993769889,108.83000183105467,15
2026-03-26,XLK,0.014649680699622292,132.5,16
2026-03-26,IWM,0.013818067678419737,247.44000244140625,17
2026-03-26,GLD,0.008723584271001162,400.6400146484375,18
