event_id,event_date,event_type,event_title,eval_date,effective_date,ticker,rank,momentum_score,mad_score,event_weight
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-08-10,2022-08-11,217500,1,-0.03911683614787009,1.7226121499883247,0.558166773566358
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-08-10,2022-08-11,080220,2,-0.0456755614336013,2.4394688957594384,0.441833226433642
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-08-18,2022-08-19,272110,1,0.01615065174652286,3.531355526178994,0.3379961374604039
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-08-18,2022-08-19,217500,2,-0.04972759829752441,1.313552460906901,0.662003862539596
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-08-25,2022-08-26,272110,1,-0.05679218767769956,2.131688795203433,0.4231642704654325
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-08-25,2022-08-26,217500,2,-0.08500000580729605,1.2973937578664068,0.5768357295345674
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-09-01,2022-09-02,272110,1,-0.03728051692653459,6.503270648792429,0.12128533453754163
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-09-01,2022-09-02,053610,2,-0.12203824362110109,0.035645274322995274,0.8787146654624585
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-09-08,2022-09-13,053610,1,-0.052319250353508706,1.0481830333830544,0.6907497936183598
EVT001,2022-08-09,policy_regulation,US CHIPS and Science Act signed,2022-09-08,2022-09-13,272110,2,-0.05453697604497517,3.574878135589708,0.30925020638164025
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-10-18,2023-10-19,053610,1,0.22641394811979834,0.8885358602978434,0.5958446144985412
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-10-18,2023-10-19,240810,2,0.025701814228397384,1.7842606136489991,0.40415538550145874
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-10-25,2023-10-26,053610,1,0.3406892535540274,4.073266018866772,0.33510170048266874
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-10-25,2023-10-26,240810,2,0.03167143474659884,1.5568723384573506,0.6648982995173313
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-11-01,2023-11-02,053610,1,0.16086558397670123,0.573858444612008,0.5892501751771586
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-11-01,2023-11-02,095610,2,-0.0648993608871123,1.2578131703200788,0.4107498248228413
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-11-08,2023-11-09,053610,1,0.44704268285668075,4.263523700835374,0.46243499866562926
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-11-08,2023-11-09,080220,2,0.10389568247309522,3.527894430497566,0.5375650013343707
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-11-15,2023-11-16,053610,1,0.47155190291552573,1.5732757705311624,0.47407338119814035
EVT002,2023-10-17,tariff_trade,US tightened advanced AI chip export controls to China,2023-11-15,2023-11-16,240810,2,0.08615722968393102,1.3195660795228883,0.5259266188018596
