SignalDate,NextDate,GrossReturn,NetReturn,Turnover,NAV,Holdings_x,LossFlag,Holdings_y,Top1Weight,Top3Weight,AvgMomentumScore,AvgFlowScore
2021-04-30,2021-06-30,0.025420066490546823,0.025020066490546822,0.4,1.7289295510854779,5,0,5,0.2,0.6000000000000001,0.1747097553853759,0.33750710831108893
2021-06-30,2021-07-30,-0.016528113672538477,-0.018194780339205144,1.6666666666666665,1.697472057681517,6,1,6,0.16666666666666666,0.5,0.09950226539178325,0.1842001470009483
2021-07-30,2021-08-31,0.048946514656903334,0.04810651465690333,0.8399999999999999,1.7791315221040567,5,0,5,0.16000000000000003,0.4800000000000001,0.10454605102529364,0.16384688891144167
2021-08-31,2021-09-30,0.02128537700021177,0.020375377000211768,0.91,1.8153819975998875,4,0,4,0.1875,0.5625,0.09643831691898534,0.13316231961793645
2021-09-30,2021-10-29,0.07303386057614625,0.07161719390947958,1.4166666666666665,1.9453945621417772,6,0,6,0.16666666666666666,0.5,0.05281989869291886,0.03759269458792974
2021-10-29,2021-11-30,0.001924648359602414,0.0005913150262690807,1.3333333333333333,1.9465449031783937,6,0,6,0.16666666666666666,0.5,0.09478314353828114,0.12142540902856935
2021-11-30,2022-02-28,-0.1290701857476117,-0.1300701857476117,1.0,1.6933574460559133,6,1,6,0.13333333333333333,0.4,0.10430342075482589,0.33278889865617767
2022-02-28,2022-03-31,0.059180402192264905,0.0573804021922649,1.8,1.790522977365868,5,0,5,0.2,0.6000000000000001,0.08644049095556025,0.2091274144569851
2022-03-31,2022-04-29,-0.026962837151411026,-0.028712837151411028,1.75,1.739111982700902,4,1,4,0.1875,0.5625,0.14296576581449624,0.3351074858577667
2022-04-29,2022-05-31,0.07006035890213023,0.06831035890213023,1.75,1.8579113464101962,5,0,5,0.2,0.6000000000000001,0.05769412282795392,0.10218957069811482
2022-05-31,2022-06-30,-0.12195880633195916,-0.12275880633195915,0.8,1.6298363672542775,5,1,5,0.2,0.6000000000000001,0.09759547989152115,0.17804850780450918
2022-06-30,2022-07-29,-0.008679151580423383,-0.010279151580423383,1.6,1.6130830321839842,5,1,5,0.2,0.6000000000000001,0.03273733205043445,0.053914528777157966
2022-07-29,2022-08-31,-0.02573839635063748,-0.026738396350637482,1.0,1.5699517787229607,4,1,4,0.1875,0.5625,0.03083254486410361,0.051591380618108855
2022-08-31,2022-09-30,-0.07196369484126652,-0.07308869484126652,1.125,1.4552060522523744,4,1,4,0.1875,0.5625,0.06894084579303171,0.01080576404881689
2022-09-30,2022-10-31,0.05839039164197916,0.056890391641979156,1.5,1.5379932944847905,4,0,4,0.1875,0.5625,0.041258600244572785,0.05376228381120357
2022-10-31,2022-11-30,0.005352329551836605,0.0038880438375508914,1.4642857142857142,1.5439730798356066,7,0,7,0.14285714285714285,0.42857142857142855,0.062293000288069666,0.13593068625211807
2022-11-30,2023-01-31,-0.042468146926439784,-0.0441824326407255,1.7142857142857142,1.4757565932366763,5,1,5,0.2,0.6000000000000001,0.07353886793863415,0.1786372753847713
2023-01-31,2023-02-28,0.025617582969513397,0.023617582969513395,2.0000000000000004,1.5106103970202498,5,0,5,0.2,0.6000000000000001,0.05371017915441586,0.13865382462578563
2023-02-28,2023-03-31,0.20733900981529674,0.20633900981529674,1.0,1.8223082505581005,4,0,4,0.1875,0.5625,0.0958759158961055,0.08029712134203643
2023-03-31,2023-04-28,-0.01672311049757191,-0.01772311049757191,1.0,1.7900112800728223,5,1,5,0.2,0.6000000000000001,0.10282745425312238,0.33777861408658383
2023-04-28,2023-05-31,0.05206747085701734,0.051067470857017336,1.0,1.8814226289516736,8,0,8,0.125,0.375,0.05623732169121679,0.20334691358562132
2023-05-31,2023-06-30,0.023929459482773495,0.022929459482773494,1.0,1.9245626328921943,8,0,8,0.1,0.30000000000000004,0.09803465490390754,0.41656996237010563
2023-06-30,2023-07-31,0.08125448011361261,0.0806544801136126,0.6,2.0797872314942,8,0,8,0.125,0.375,0.12219948052033815,0.40953673078121844
2023-07-31,2023-08-31,-0.025982367322226044,-0.026232367322226044,0.25,2.0252294888855684,8,1,8,0.125,0.375,0.12068050136498976,0.4103000346990509
