SignalDate,Ticker,R1M,R3M,R6M,R12M
2026-03-31,SPY,-0.04937954609873141,-0.04370584558740376,-0.018218729985182813,0.17591519331989347
2026-03-31,EFA,-0.07828810224923799,0.01145473797879748,0.05912002101764191,0.23091443115245314
2026-03-31,EEM,-0.09252158430992752,0.038018677862581285,0.07870225822221877,0.33090898948095093
2026-03-31,IEF,-0.02320200029535946,-0.0013652375204915579,0.007944580664511314,0.039477505056296325
2026-03-31,TLT,-0.042300480253973594,0.001731923211904629,-0.008740927839719803,-0.004861641499091407
2026-03-31,LQD,-0.02072834086751807,-0.00381073363291895,-0.00045764973046513724,0.048737534009882344
2026-03-31,HYG,-0.009536182318344966,-0.003529306029893653,0.008740419267958766,0.06891347715491358
2026-03-31,GLD,-0.11051161024305556,0.08574098860906032,0.21048191708803232,0.49333652623681234
2026-03-31,PDBC,0.16085788245695665,0.3071697882886202,0.33971727553419506,0.3200588982069601
2026-03-31,VNQ,-0.06313939296458815,0.013088490612139347,-0.010433524963600171,0.018637886372686818
