SignalDate,Regime,RiskBasket3M,DefenseBasket3M,RiskVsDefenseSpread3M,RealAssetsStrength3M,FinancialAssetsStrength3M,RealVsFinancialSpread3M,DurationStrength3M,TopLeader3M,TopLaggard3M
2016-01-29,Risk-Off,-0.06782551584167747,0.03385801141536793,-0.1016835272570454,-0.06803778648300647,-0.013177094354552655,-0.05486069212845382,0.03385801141536793,TLT,PDBC
2016-02-29,Risk-Off,-0.06209437477786957,0.06450838488906308,-0.12660275966693263,0.012003668761948064,0.00833571061869356,0.0036679581432545044,0.06450838488906308,GLD,EFA
2016-03-31,Risk-Off,0.02753820953834174,0.06764625471996433,-0.04010804518162259,0.06982376603483542,0.0442143878832852,0.02560937815155022,0.06764625471996433,GLD,EFA
2016-04-29,Risk-On,0.07936048444932071,0.017458686643603394,0.06190179780571732,0.12462145622386234,0.048429010511700676,0.07619244571216166,0.017458686643603394,GLD,IEF
2016-05-31,Risk-On,0.08656971806718272,-0.0017578273817968615,0.08832754544897958,0.07838127799912738,0.03846707331801018,0.0399142046811172,-0.0017578273817968615,PDBC,GLD
2016-06-30,Risk-Off,0.030284889811438932,0.04913042119098654,-0.018845531379547607,0.10012508573443246,0.04318743868071402,0.05693764705371844,0.04913042119098654,PDBC,EFA
2016-07-29,Mixed,0.061139452381831695,0.06650541104672225,-0.005365958664890556,0.054327597634679016,0.05254751369998889,0.0017800839346901257,0.06650541104672225,VNQ,PDBC
2016-08-31,Risk-On,0.05949403685704442,0.051862569603512654,0.007631467253531768,0.04310383421149185,0.04855523040415721,-0.00545139619266536,0.051862569603512654,EEM,PDBC
2016-09-30,Risk-On,0.043240595576466756,-0.004943042397215214,0.04818363797368197,-0.014662776514341372,0.01672640218764245,-0.03138917870198382,-0.004943042397215214,EEM,PDBC
2016-10-31,Risk-On,-0.016637231262789466,-0.045184387945381044,0.028547156682591578,-0.038645132528492075,-0.020510967555139682,-0.018134164973352393,-0.045184387945381044,PDBC,VNQ
2016-11-30,Risk-On,-0.025033100325888614,-0.09496630183210303,0.06993320150621442,-0.04718144494684643,-0.04389236047990428,-0.0032890844669421493,-0.09496630183210303,PDBC,TLT
2016-12-30,Risk-On,-0.00970524550027283,-0.0920552167695145,0.08234997126924168,-0.033252984615781446,-0.03490038866732097,0.0016474040515395208,-0.0920552167695145,PDBC,GLD
2017-01-31,Risk-On,0.038423964168579475,-0.06012636540856514,0.09855032957714462,0.009839541948474806,-0.007544604799436483,0.017384146747911288,-0.06012636540856514,SPY,TLT
2017-02-28,Risk-On,0.0722955061806699,0.013815275598946464,0.05848023058172344,0.0621228807475788,0.03471716952535071,0.02740571122222809,0.013815275598946464,VNQ,IEF
2017-03-31,Risk-On,0.05889272780621395,0.013833858287601197,0.04505886951861275,0.017845815023721845,0.024336173123101768,-0.006490358099379923,0.013833858287601197,EEM,PDBC
2017-04-28,Risk-On,0.04565438499620415,0.022146010749074962,0.02350837424712919,2.035367232988694e-05,0.027914830698551763,-0.027894477026221876,0.022146010749074962,EEM,PDBC
2017-05-31,Mixed,0.03857693778777804,0.02419805730010527,0.014378880487672774,-0.029841063338018132,0.022660588408799053,-0.05250165174681719,0.02419805730010527,EFA,PDBC
2017-06-30,Risk-On,0.03745897502841657,0.028677950352096415,0.008781024676320158,-0.013211111852538796,0.027654571300059327,-0.04086568315259812,0.028677950352096415,EFA,PDBC
2017-07-31,Risk-On,0.05109316977911105,0.01353851750868762,0.03755465227042343,0.013627894979203062,0.023317634156137412,-0.00968973917693435,0.01353851750868762,EEM,GLD
2017-08-31,Inflation Tilt,0.0393569615680744,0.024301890456057018,0.015055071112017385,0.03663722498668576,0.02204092065444061,0.014596304332245146,0.024301890456057018,EEM,HYG
2017-09-29,Risk-On,0.04051929959822331,0.0035570251514326356,0.03696227444679068,0.03551724526793939,0.01643423103430819,0.0190830142336312,0.0035570251514326356,EEM,TLT
2017-10-31,Risk-On,0.027459326772798876,0.0038682037236674183,0.023591123049131458,0.015869299373274897,0.014140901399150052,0.0017283979741248446,0.0038682037236674183,PDBC,VNQ
2017-11-30,Risk-On,0.0340121557066317,-0.01768722445897386,0.05169938016560556,0.015584986241942045,0.008816811536993808,0.006768174704948237,-0.01768722445897386,SPY,GLD
2017-12-29,Risk-On,0.037301692553180874,0.011229583988346392,0.02607210856483448,0.03617633248086771,0.020525001417760525,0.015651331063107187,0.011229583988346392,PDBC,IEF
2018-01-31,Risk-On,0.05473080574099487,-0.015065458597713577,0.06979626433870845,0.037282897633105994,0.013902590569182038,0.023380307063923956,-0.015065458597713577,EEM,IEF
2018-02-28,Risk-On,-0.004499080409711209,-0.03690801575439934,0.032408935344688125,-0.019470337378279707,-0.01437432582717968,-0.005096011551100028,-0.03690801575439934,EEM,VNQ
2018-03-29,Risk-On,-0.01729453508482841,-0.027291037305062382,0.00999650222023397,-0.01533815501366879,-0.020806174060153327,0.005468019046484538,-0.027291037305062382,EEM,VNQ
2018-04-30,Mixed,-0.04393222599058468,-0.017091765004401682,-0.026840460986183,-0.011020227579555711,-0.026133196677844306,0.015112969098288595,-0.017091765004401682,PDBC,EEM
2018-05-31,Risk-Off,0.005887381765877398,0.017898933822101504,-0.012011552056224107,0.05118178347134587,0.0070263075889013035,0.04415547588244456,0.017898933822101504,VNQ,EEM
2018-06-29,Risk-On,0.0029203480628316124,0.00206657779109759,0.0008537702717340222,0.023770107763623243,0.006120628470451939,0.017649479293171302,0.00206657779109759,VNQ,EEM
2018-07-31,Risk-On,0.02578421917848419,0.009197274570590941,0.01658694460789325,-0.001830671418991477,0.02376263860198775,-0.025593310020979226,0.009197274570590941,VNQ,GLD
2018-08-31,Risk-On,0.023437641950212453,0.005902280762023038,0.017535361188189415,-0.012904215592820104,0.024358875816347502,-0.03726309140916761,0.005902280762023038,SPY,GLD
