AsOfDate,Symbol,Sector,TargetWeight,CurrentPrice,Momentum12_1,SignalRank
2026-03-27,BK,Financials,0.05,114.66000366210938,0.45927667614117773,1
2026-03-27,C,Financials,0.05,107.37999725341795,0.6276688580527532,2
2026-03-27,CAT,Industrials,0.05,695.4000244140625,1.2376655222881716,3
2026-03-27,CVS,Health Care,0.05,70.08000183105469,0.2051490700484786,4
2026-03-27,GE,Industrials,0.05,282.8099975585937,0.6499284025929819,5
2026-03-27,GEV,Industrials,0.05,853.1599731445312,1.765257310437316,6
2026-03-27,GM,Consumer Discretionary,0.05,72.9800033569336,0.5980197750218768,7
2026-03-27,GOOG,Communication Services,0.05,273.760009765625,0.8427359820021145,8
2026-03-27,GOOGL,Communication Services,0.05,274.3399963378906,0.8673746819687174,9
2026-03-27,GS,Financials,0.05,802.8900146484375,0.6435771697591959,10
2026-03-27,JNJ,Health Care,0.05,240.4499969482422,0.5474494561395562,11
2026-03-27,LLY,Health Care,0.05,878.239990234375,0.24532770889359568,12
2026-03-27,LRCX,Information Technology,0.05,211.41000366210935,2.159094891489369,13
2026-03-27,MO,Consumer Staples,0.05,66.4800033569336,0.2663517744569597,14
2026-03-27,MU,Information Technology,0.05,357.2200012207031,3.5253654034319917,15
2026-03-27,NEE,Utilities,0.05,91.4000015258789,0.34926498092316893,16
2026-03-27,NFLX,Communication Services,0.05,93.43000030517578,-0.12852218399774118,17
2026-03-27,PLTR,Information Technology,0.05,143.05999755859375,0.47312531685798587,18
2026-03-27,PM,Consumer Staples,0.05,163.5399932861328,0.24684773446174635,19
2026-03-27,WMT,Consumer Staples,0.05,122.88999938964844,0.47009673442174194,20
